"Figure","Major_cell_type","Cell_subtype","Cancer_type","Observed_cell_count","Expected_cell_count","Ro_e","Ro_e_display","Ro_e_symbol","N_samples","N_datasets","Chi_square_statistic","Chi_square_df","Chi_square_p_value"
"Supplementary Fig. 6e","Myeloid","CLEC9A+ cDC","OVCA",345,458.190266172688,0.752962307300462,0.75,"+",58,7,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CLEC9A+ cDC","PACA",259,394.058540273924,0.657262750402415,0.66,"+",27,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CLEC9A+ cDC","PRCA",144,266.103599484929,0.541142623695158,0.54,"+",35,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CLEC9A+ cDC","SKCA",598,178.435054560181,3.35135941462843,3.35,"+++",17,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CLEC9A+ cDC","STCA",311,308.292479901795,1.00878230989957,1.01,"++",51,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CLEC9A+ cDC","THCA",237,287.660806206161,0.823887004718142,0.82,"+",27,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CLEC9A+ cDC","UECA",18,31.1596118618167,0.577670867012864,0.58,"+",4,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CXCL3+ Macro","BRCA",975,1069.17374150908,0.911919141059188,0.91,"+",60,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CXCL3+ Macro","COCA",676,431.993811556191,1.56483723126684,1.56,"++",56,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CXCL3+ Macro","HNCA",533,649.522610283067,0.820602688130771,0.82,"+",35,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CXCL3+ Macro","KICA",1143,808.927013696203,1.41298285339406,1.41,"++",24,3,89608.6451730528,180,0
