"Feat_pair","cancer_type","Region","median_J_comp","mean_J_comp","n"
"Epithelial-Mural","THCA","Malignant",0.25126904,0.25804124,5
"Epithelial-Mural","THCA","Normal",0.04355717,0.0560324,5
"Epithelial-Mural","UCEC","Boundary",0.01904762,0.09591479,5
"Epithelial-Mural","UCEC","Malignant",0.24,0.17520255,5
"Epithelial-Mural","UCEC","Normal",0.12186978,0.11983964,5
"Epithelial-Myeloid","BRCA","Boundary",0.24901186,0.30437425,75
"Epithelial-Myeloid","BRCA","Malignant",0.13602015,0.18223335,75
"Epithelial-Myeloid","BRCA","Normal",0.12515337,0.14691437,75
"Epithelial-Myeloid","COCA","Boundary",0.19339623,0.24876639,27
"Epithelial-Myeloid","COCA","Malignant",0.13711584,0.21576851,27
"Epithelial-Myeloid","COCA","Normal",0.03304598,0.07226143,27
"Epithelial-Myeloid","HNCA","Boundary",0.19992733,0.2292103,26
