category,sample_id,Malignant,Boundary,Normal
Epi-Epi,GSM6433611_120D,0.389285714285714,0.544720880024673,0.68013845057518
Epi-Epi,GSM6433613_395A,0.305249530485073,0.423728813559322,0.345847176079734
Epi-Epi,GSM6433614_395B,0.0,0.0,0.272971458343366
Epi-Epi,GSM6433615_395C,0.678787878787878,0.235955056179775,0.233786499667327
Epi-Epi,GSM6433616_395D,0.188679245283018,0.857520325203251,0.371424373040752
Epi-Epi,GSM6433617_396A,0.0,0.0,0.36949175452825
Epi-Epi,GSM6433618_396C,0.0,0.470588235294117,0.197879913233295
Epi-Epi,GSM6433619_396D,0.430895390070921,1.0,0.325031419233739
Epi-Epi,GSM6433620_397A,0.61,0.714285714285714,0.295173597149883
Epi-Epi,GSM6433621_397B,0.284552845528455,0.0,0.346539291392232
Epi-Epi,GSM6433622_397C,0.449377997601918,0.581221318314559,0.243933588761174
Epi-Epi,GSM6433623_397D,0.527272727272727,0.0,0.313812134766611
Epi-Epi,GSM6433624_398A,0.290190648631377,0.916666666666666,0.607238260380541
Epi-Epi,GSM6433625_398B,0.0,0.967741935483871,0.304418511947099
Epi-Epi,GSM6433627_398D,0.0,0.755349393984737,0.403133685053464
Epi-Epi,GSM6505133_DonorA,0.0,0.448018528049408,0.239557563423446
Epi-Epi,GSM6505134_DonorB,0.360819785773384,0.447674418604651,0.234640522875816
Epi-Epi,GSM6505135_DonorC,0.380209915086432,0.326241134751773,0.445884652981427
Epi-Epi,GSM6506110_SP1,0.665147443847319,0.800995024875621,0.739428231089934
Epi-Epi,GSM6506111_SP2,0.0,0.0,0.651316112898227
Epi-Epi,GSM6506112_SP3,0.0,0.672131147540983,0.71407145264577
Epi-Epi,GSM6506113_SP4,0.450777202072538,0.642105263157894,0.457202422839404
Epi-Epi,GSM6506114_SP5,0.0,0.0,0.487168451636675
Epi-Epi,GSM6506115_SP6,0.0,0.765306122448979,0.492290980685019
Epi-Epi,GSM6506116_SP7,0.869975849577367,0.876836911301506,0.670131384858152
Epi-Epi,GSM6506117_SP8,0.297385620915032,0.736263736263736,0.688784067085953
Epi-Epi,GSM6833484_Patient1,0.285973929714763,0.398116693485905,0.10424152159299
