"category","sample_id","Region","value"
"Epi-Epi","GSM6030902_patient_2","Normal",0.228062394530742
"Epi-Epi","GSM6177599_NYU_BRCA0_Vis","Malignant",0.60958904109589
"Epi-Epi","GSM6177599_NYU_BRCA0_Vis","Boundary",0.463768115942029
"Epi-Epi","GSM6177599_NYU_BRCA0_Vis","Normal",0.392420784459423
"Epi-Epi","GSM6177603_NYU_BRCA2_Vis","Malignant",0.238816148390616
"Epi-Epi","GSM6177603_NYU_BRCA2_Vis","Boundary",0.324727668845315
"Epi-Epi","GSM6177603_NYU_BRCA2_Vis","Normal",0.23701476785409
"Epi-Epi","GSM6177607_NYU_GIST1_Vis","Malignant",0
"Epi-Epi","GSM6177607_NYU_GIST1_Vis","Boundary",0.305309734513274
"Epi-Epi","GSM6177607_NYU_GIST1_Vis","Normal",0.266635367380452
"Epi-Epi","GSM6177612_NYU_LIHC1_Vis","Malignant",0.841269841269841
"Epi-Epi","GSM6177612_NYU_LIHC1_Vis","Boundary",1
"Epi-Epi","GSM6177612_NYU_LIHC1_Vis","Normal",0.481068189452468
"Epi-Epi","GSM6177614_NYU_OVCA1_Vis","Malignant",0.60655737704918
"Epi-Epi","GSM6177614_NYU_OVCA1_Vis","Boundary",0.728519130845536
"Epi-Epi","GSM6177614_NYU_OVCA1_Vis","Normal",0.611654299432562
"Epi-Epi","GSM6177617_NYU_OVCA3_Vis","Malignant",0
"Epi-Epi","GSM6177617_NYU_OVCA3_Vis","Boundary",1
"Epi-Epi","GSM6177617_NYU_OVCA3_Vis","Normal",0.714287918055041
"Epi-Epi","GSM6177618_NYU_PDAC1_Vis","Malignant",0.574074074074074
"Epi-Epi","GSM6177618_NYU_PDAC1_Vis","Boundary",0.428017467008292
"Epi-Epi","GSM6177618_NYU_PDAC1_Vis","Normal",0.399023282935565
"Epi-Epi","GSM6177623_NYU_UCEC3_Vis","Malignant",0.459893923520167
"Epi-Epi","GSM6177623_NYU_UCEC3_Vis","Boundary",0.372685185185185
"Epi-Epi","GSM6177623_NYU_UCEC3_Vis","Normal",0.303708791208791
