LR pair,Median Jaccard index,No. of cancer types tested,No. of cancer types with P < 0.01,Replication P value,BH-adjusted q value (FDR),Rank
COL4A1-ITGAV,0.0201010101010101,13,10,2.7827128e-18,4.51058330604651e-17,57
ADAM9-ITGB1,0.0201010101010101,13,7,1.62788813920032e-11,6.81464284097673e-11,58
BMP1-BMPR2,0.02,13,7,1.62788813920032e-11,6.81464284097673e-11,59
S100A9-TLR4,0.0198039215686274,13,10,2.7827128e-18,4.51058330604651e-17,60
GRN-EGFR,0.0197049116676373,13,6,1.61570301840039e-09,5.00508890588923e-09,61
SEMA3F-PLXNA1,0.0197049116676373,13,4,6.6520212646993e-06,1.19342569407861e-05,62
LGALS1-PTPRC,0.0196824987093442,13,11,7.65766e-21,2.96521612222222e-19,63
S100A9-ALCAM,0.0193987025948103,13,9,6.8960885995e-16,6.49536993763716e-15,64
APOE-SCARB1,0.019373299559058,13,8,1.2308202828208e-13,7.49241691813185e-13,65
SEMA4B-DCBLD2,0.0193023833167824,13,5,1.20372945191273e-07,2.71960916688226e-07,66
HSP90B1-TLR2,0.0192307692307692,13,6,1.61570301840039e-09,5.00508890588923e-09,67
HSPA4-TLR4,0.0189590493519329,13,11,7.65766e-21,2.96521612222222e-19,68
ICAM2-ITGB2,0.0186932215234101,13,8,1.2308202828208e-13,7.49241691813185e-13,69
ICAM1-EGFR,0.0186310479247878,13,5,1.20372945191273e-07,2.71960916688226e-07,70
VCAN-TLR2,0.0185185185185185,13,7,1.62788813920032e-11,6.81464284097673e-11,71
TNC-ITGA2,0.0185147229623556,13,6,1.61570301840039e-09,5.00508890588923e-09,72
LGALS8-ITGA3,0.018480667688639,13,5,1.20372945191273e-07,2.71960916688226e-07,73
LAMA5-ITGB4,0.0184367034834324,13,8,1.2308202828208e-13,7.49241691813185e-13,74
LAMB1-ITGA1,0.0184246112237998,13,6,1.61570301840039e-09,5.00508890588923e-09,75
LAMB3-CD151,0.0183625336927223,13,10,2.7827128e-18,4.51058330604651e-17,76
MFGE8-ITGAV,0.0183501683501683,13,6,1.61570301840039e-09,5.00508890588923e-09,77
GPI-AMFR,0.0183501683501683,13,1,0.122478977001032,0.128759950180572,78
S100A8-TLR4,0.0183110367892976,13,10,2.7827128e-18,4.51058330604651e-17,79
PLAT-ITGAM,0.0181818181818181,13,8,1.2308202828208e-13,7.49241691813185e-13,80
EFNA1-EPHA2,0.0181818181818181,13,2,0.0072489436779352,0.00862203710498436,81
APOE-ABCA1,0.0180194805194804,13,10,2.7827128e-18,4.51058330604651e-17,82
CXCL10-SDC4,0.0177005012531328,13,10,2.7827128e-18,4.51058330604651e-17,83
SEMA7A-ITGA1,0.017662620603797,13,6,1.61570301840039e-09,5.00508890588923e-09,84
HEBP1-FPR3,0.0176214873466852,13,7,1.62788813920032e-11,6.81464284097673e-11,85
