cancer_type,lr_pair,sc_lr_score,visium_median_jaccard,x_sc_scaled,y_visium_scaled
STCA,LAMB1-ITGA6,0.9511477,0.0354906054279749,0.541028960619648,0.396805249246406
STCA,LAMB1-ITGA7,0.619215,0.0786516853932584,0.352220005210648,0.879370786994845
STCA,LAMB1-ITGAV,0.72847575,0.0862422997946611,0.414369374871136,0.964238193542601
STCA,LAMB1-ITGB1,1.5069371,0.0719696969696969,0.857171407692189,0.80466233809972
STCA,LAMB1-ITGB4,0.55735445,0.0472103004291845,0.317032674084409,0.527838136399725
STCA,LAMB2-ITGA3,0.5326916,0.075,0.303004026271437,0.838542857598656
STCA,LAMB2-ITGB1,1.4210925,0.0622950819672131,0.80834154171784,0.696494613961725
STCA,LAMB2-ITGB4,0.67795026,0.0442176870748299,0.385629618322812,0.49437900901508
STCA,LAMC1-ITGA1,1.0670857,0.093167701863354,0.606976463448411,1.0
STCA,LAMC1-ITGA2,0.5697118,0.05420054200542,0.324061744571057,0.605993031688278
STCA,LAMC1-ITGA3,0.5347021,0.0758853288364249,0.304147632806286,0.848441339897459
STCA,LAMC1-ITGA6,1.073754,0.0519750519750519,0.610769505704729,0.581110781426649
STCA,LAMC1-ITGA7,0.55974257,0.115671641791044,0.318391077286599,1.0
STCA,LAMC1-ITGAV,0.66900325,0.100318471337579,0.380540407129899,1.0
STCA,LAMC1-ITGB1,1.4474647,0.0667870036101083,0.823342496832649,0.746716864768959
STCA,LAMC1-ITGB4,0.6799608,0.0273684210526315,0.386773247610339,0.305994586632491
STCA,LAMC3-ITGA2,0.18593791,0.0690208667736757,0.105764640115399,0.771692731444455
STCA,LAMC3-ITGA3,0.1509282,0.0876190476190476,0.0858505226624576,0.979631020940652
STCA,LAMC3-ITGA6,0.68998003,0.0419485791610284,0.392472355743712,0.469009085891895
STCA,LAMC3-ITGB1,0.8886694,0.0542372881355932,0.505490242805073,0.606403874421626
STCA,LAMC3-ITGB4,0.29618686,0.0549645390070922,0.168476114713832,0.614534954741332
STCA,LGALS1-ITGB1,2.5990808,0.091743119266055,1.0,1.0
STCA,LGALS3BP-ITGB1,1.534317,0.0305555555555555,0.872745559676018,0.341628571614266
STCA,LRPAP1-SORT1,0.44700053,0.0489690721649484,0.254261490767766,0.547502209428675
STCA,LTBP1-ITGB5,0.26958337,0.0886524822695035,0.153343597920115,0.991185410873115
STCA,LTBP3-ITGB5,0.37736827,0.0667808219178082,0.214653479043197,0.746647749916611
STCA,LUM-ITGB1,1.0199404,0.048780487804878,0.580159416361926,0.54539372851945
STCA,MADCAM1-ITGA4,0.33998945,0.0136518771331058,0.193391771598823,0.152635787503737
STCA,MFAP2-NOTCH1,0.28299737,0.0331950207468879,0.160973708866871,0.371139300735227
STCA,MFGE8-ITGAV,1.1446962,0.0744500846023688,0.651122633541837,0.832394489212427
STCA,MFGE8-PDGFRB,1.0076035,0.0679886685552408,0.573141978182484,0.760152165528527
STCA,MFNG-NOTCH1,0.24097976,0.05893536121673,0.137073378911784,0.658931016110477
STCA,MFNG-NOTCH2,0.22773236,0.0550660792951541,0.129538032873611,0.615670233185503
STCA,MIF-CD74,2.5413015,0.0189125295508274,1.0,0.211452887652931
STCA,MIF-EGFR,0.88208646,0.0679442508710801,0.501745754766021,0.759655550437806
STCA,MMP2-FGFR1,0.3249363,0.0663841807909604,0.184829284302106,0.74221307546397
STCA,MMP2-SDC2,0.7295216,0.060475161987041,0.414964272107879,0.676146868618066
STCA,NID1-COL13A1,0.6478558,0.0687022900763358,0.368511378522401,0.768130861922432
STCA,NID1-ITGA3,0.62025934,0.0763888888888889,0.352814043533753,0.854071429035668
STCA,NID1-ITGAV,0.75404805,0.0850111856823266,0.428915333285012,0.950473634265441
STCA,NID1-ITGB1,1.3639352,0.0711864406779661,0.775829499044736,0.795905085178385
STCA,NID2-COL13A1,0.38370508,0.0460122699386503,0.218257964159382,0.51444347091942
STCA,NPNT-ITGA8,0.1884387,0.0566666666666666,0.107187131926532,0.633565714630095
STCA,NPNT-ITGB1,0.9221282,0.0541586073500967,0.524522176318218,0.605524178278849
STCA,PDGFA-PDGFRB,0.90542,0.0587155963302752,0.515018268481585,0.656473919098641
STCA,PDGFB-ITGAV,0.5728087,0.072595281306715,0.325823313871118,0.811656728468148
STCA,PDGFB-LRP1,0.3707195,0.0682730923694779,0.210871545782464,0.76333218630132
STCA,PDGFB-PDGFRB,1.0536646,0.0954356846473029,0.599342313901109,1.0
STCA,PDGFB-S1PR1,0.56018484,0.104477611940298,0.318642647971586,1.0
STCA,PDGFD-PDGFRB,0.98096496,0.0625,0.557989524353678,0.698785714665546
STCA,PGF-NRP1,0.9386339,0.082437275985663,0.533910898716747,0.921695853035559
STCA,PGF-NRP2,0.6929414,0.0756013745704467,0.394156833278705,0.845266568942516
STCA,PLAT-LRP1,0.39983127,0.059369202226345,0.227430814826481,0.663781606509757
