"lr_pair","cancer_type","strength","group_pair","z_score"
"TIMP1-CD63","LUCA",0.13792402,"Endothelial-Mural",-0.162595
"TIMP3-CD44","LUCA",0.01260891,"Endothelial-Mural",-0.4932226
"ADAM10-CD44","OVCA",0.00635955,"Endothelial-Mural",-0.04661
"APP-CAV1","OVCA",0.09727106,"Endothelial-Mural",0.021057
"APP-CD74","OVCA",0.03134097,"Endothelial-Mural",-1.0113605
"BGN-LY96","OVCA",0.00550435,"Endothelial-Mural",-0.6923589
"COL18A1-ITGB1","OVCA",0.07693069,"Endothelial-Mural",0.11149218
"COL18A1-KDR","OVCA",0.01662508,"Endothelial-Mural",-0.3384604
"COL1A1-ITGA5","OVCA",0.03934904,"Endothelial-Mural",0.43096604
"COL1A1-ITGAV","OVCA",0.00990298,"Endothelial-Mural",0.08846395
"COL1A2-ITGA1","OVCA",0.01438794,"Endothelial-Mural",-0.0576705
"COL1A2-ITGAV","OVCA",0.01012043,"Endothelial-Mural",-0.0232456
"COL4A1-CD47","OVCA",0.01040089,"Endothelial-Mural",-0.2585948
"COL4A1-ITGA1","OVCA",0.01459979,"Endothelial-Mural",-0.6761832
"COL4A1-ITGAV","OVCA",0.00983945,"Endothelial-Mural",-0.3666323
"COL5A2-ITGB1","OVCA",0.01794183,"Endothelial-Mural",-0.5928959
"COL6A1-ITGA1","OVCA",0.0094626,"Endothelial-Mural",-0.1071614
"COL6A2-ITGA1","OVCA",0.0147962,"Endothelial-Mural",-0.1121966
"COL6A2-ITGB1","OVCA",0.08356234,"Endothelial-Mural",-0.0195198
"COL6A3-ITGA1","OVCA",0.00337362,"Endothelial-Mural",-0.0611031
"COL6A3-ITGB1","OVCA",0.02013779,"Endothelial-Mural",-0.3241478
"EDN1-EDNRA","OVCA",0.00194554,"Endothelial-Mural",-0.571155
"EFEMP2-AQP1","OVCA",0.00662498,"Endothelial-Mural",-0.3346591
"FYN-THY1","OVCA",0.00366556,"Endothelial-Mural",-0.4294493
"GNAI2-EDNRA","OVCA",0.01166156,"Endothelial-Mural",-0.5204128
"GNAI2-F2R","OVCA",0.0017792,"Endothelial-Mural",-0.620196
"GNAI2-S1PR1","OVCA",0.00232082,"Endothelial-Mural",-0.776673
"GNAI2-S1PR3","OVCA",0.01133192,"Endothelial-Mural",-0.0632632
"HBEGF-CD44","OVCA",0.00385563,"Endothelial-Mural",0.09070875
"ICAM1-CAV1","OVCA",0.0191928,"Endothelial-Mural",-0.4887847
"LAMA4-ITGA6","OVCA",0.00628137,"Endothelial-Mural",-0.3483431
